,Bob,Alice,Charlie
def wrapper,0.0,0.0,0.004
else (,0.0,0.0,0.004
else 0,0.0,0.0,0.008
find_maximum (,0.0,0.017241379310344827,0.0
for k,0.0,0.0,0.004
for n,0.008771929824561403,0.0,0.0
for number,0.0,0.008620689655172414,0.0
for x,0.0,0.0,0.004
from functools,0.0,0.0,0.004
func (,0.0,0.0,0.004
func ),0.0,0.0,0.008
func .,0.0,0.0,0.008
functools import,0.0,0.0,0.004
if __name__,0.008771929824561403,0.008620689655172414,0.004
if data,0.0,0.0,0.008
if len,0.008771929824561403,0.0,0.004
if n,0.008771929824561403,0.0,0.0
if not,0.008771929824561403,0.017241379310344827,0.0
if number,0.0,0.008620689655172414,0.0
import wraps,0.0,0.0,0.004
in data,0.0,0.0,0.004
in kwargs,0.0,0.0,0.004
in numbers,0.0,0.008620689655172414,0.0
in nums,0.008771929824561403,0.0,0.0
items (,0.0,0.0,0.004
join (,0.0,0.0,0.008
"k ,",0.0,0.0,0.004
k },0.0,0.0,0.004
kwargs ),0.0,0.0,0.008
kwargs .,0.0,0.0,0.004
kwargs_list =,0.0,0.0,0.004
kwargs_list },0.0,0.0,0.004
len (,0.017543859649122806,0.008620689655172414,0.016
m ),0.008771929824561403,0.0,0.0
m :,0.008771929824561403,0.0,0.0
m =,0.02631578947368421,0.0,0.0
m def,0.008771929824561403,0.0,0.0
main (,0.017543859649122806,0.017241379310344827,0.008
map (,0.0,0.0,0.004
max_num =,0.0,0.008620689655172414,0.0
max_num },0.0,0.008620689655172414,0.0
max_val (,0.017543859649122806,0.0,0.0
maximum :,0.0,0.008620689655172414,0.0
maximum =,0.0,0.017241379310344827,0.0
maximum def,0.0,0.008620689655172414,0.0
mean ),0.0,0.0,0.004
"mean ,",0.0,0.0,0.004
mean =,0.0,0.0,0.004
"median ,",0.0,0.0,0.004
median =,0.0,0.0,0.004
mid -,0.0,0.0,0.004
mid =,0.0,0.0,0.004
mid ],0.0,0.0,0.008
n >,0.008771929824561403,0.0,0.0
n in,0.008771929824561403,0.0,0.0
n return,0.008771929824561403,0.0,0.0
not numbers,0.0,0.017241379310344827,0.0
not nums,0.008771929824561403,0.0,0.0
number >,0.0,0.008620689655172414,0.0
number in,0.0,0.008620689655172414,0.0
number return,0.0,0.008620689655172414,0.0
numbers ),0.0,0.034482758620689655,0.0
numbers :,0.0,0.02586206896551724,0.0
numbers [,0.0,0.008620689655172414,0.0
nums ),0.043859649122807015,0.0,0.0
nums :,0.017543859649122806,0.0,0.0
nums [,0.008771929824561403,0.0,0.0
print (,0.017543859649122806,0.017241379310344827,0.012
result =,0.0,0.0,0.004
result return,0.0,0.0,0.004
result },0.0,0.0,0.004
return 0,0.008771929824561403,0.0,0.0
return 0.0,0.0,0.008620689655172414,0.0
return None,0.008771929824561403,0.008620689655172414,0.0
return average,0.0,0.008620689655172414,0.0
return m,0.008771929824561403,0.0,0.0
return maximum,0.0,0.008620689655172414,0.0
return result,0.0,0.0,0.004
return s,0.008771929824561403,0.0,0.0
return wrapper,0.0,0.0,0.004
return {,0.0,0.0,0.004
s /,0.008771929824561403,0.0,0.0
s =,0.008771929824561403,0.0,0.0
sorted (,0.0,0.0,0.004
sorted_data =,0.0,0.0,0.004
sorted_data [,0.0,0.0,0.012
stats =,0.0,0.0,0.004
stats },0.0,0.0,0.004
"str ,",0.0,0.0,0.004
sum (,0.008771929824561403,0.008620689655172414,0.008
total_sum /,0.0,0.008620689655172414,0.0
total_sum =,0.0,0.008620689655172414,0.0
v in,0.0,0.0,0.004
v },0.0,0.0,0.004
variance =,0.0,0.0,0.004
variance },0.0,0.0,0.004
wrapper (,0.0,0.0,0.004
wrapper @,0.0,0.0,0.004
wraps (,0.0,0.0,0.004
wraps def,0.0,0.0,0.004
x -,0.0,0.0,0.004
x in,0.0,0.0,0.004
{ 'mean',0.0,0.0,0.004
{ args_list,0.0,0.0,0.004
{ avg,0.0,0.008620689655172414,0.0
{ func,0.0,0.0,0.008
{ k,0.0,0.0,0.004
{ kwargs_list,0.0,0.0,0.004
{ max_num,0.0,0.008620689655172414,0.0
{ result,0.0,0.0,0.004
{ stats,0.0,0.0,0.004
{ v,0.0,0.0,0.004
} ),0.0,0.017241379310344827,0.012
} def,0.0,0.0,0.004
} for,0.0,0.0,0.004
} {,0.0,0.0,0.016
