,Bob,Alice,Charlie
n >,1,0,0
n in,1,0,0
n return,1,0,0
not numbers,0,2,0
not nums,1,0,0
number >,0,1,0
number in,0,1,0
number return,0,1,0
numbers ),0,4,0
numbers :,0,3,0
numbers [,0,1,0
nums ),5,0,0
nums :,2,0,0
nums [,1,0,0
print (,2,2,3
result =,0,0,1
result return,0,0,1
result },0,0,1
return 0,1,0,0
return 0.0,0,1,0
return None,1,1,0
return average,0,1,0
return m,1,0,0
return maximum,0,1,0
return result,0,0,1
return s,1,0,0
return wrapper,0,0,1
return {,0,0,1
s /,1,0,0
s =,1,0,0
sorted (,0,0,1
sorted_data =,0,0,1
sorted_data [,0,0,3
stats =,0,0,1
stats },0,0,1
"str ,",0,0,1
sum (,1,1,2
total_sum /,0,1,0
total_sum =,0,1,0
v in,0,0,1
v },0,0,1
variance =,0,0,1
variance },0,0,1
wrapper (,0,0,1
wrapper @,0,0,1
wraps (,0,0,1
wraps def,0,0,1
x -,0,0,1
x in,0,0,1
{ 'mean',0,0,1
{ args_list,0,0,1
{ avg,0,1,0
{ func,0,0,2
{ k,0,0,1
{ kwargs_list,0,0,1
{ max_num,0,1,0
{ result,0,0,1
{ stats,0,0,1
{ v,0,0,1
} ),0,2,3
} def,0,0,1
} for,0,0,1
} {,0,0,4
